policy_id,customer_id,agent_id,policy_type,sum_assured,premium_amount,premium_frequency,start_date,end_date,status
POL000001,CUST002732,AGT0058,Endowment,5000000,13525.63,Quarterly,2024-04-10,2054-04-10,Matured
POL000002,CUST001931,AGT0037,Endowment,500000,878.59,Monthly,2025-06-26,2050-06-26,Active
POL000003,CUST001059,AGT0046,Whole Life,5000000,94241.24,Yearly,2023-06-10,2038-06-10,Active
POL000004,CUST000080,AGT0018,Term,2000000,35783.39,Yearly,2021-08-02,2046-08-02,Matured
POL000005,CUST000080,AGT0033,Term,1500000,11932.82,Quarterly,2026-02-27,2036-02-27,Active
POL000006,CUST003986,AGT0060,Whole Life,10000000,26003.58,Monthly,2024-12-08,2054-12-08,Active
POL000007,CUST003455,AGT0054,Term,10000000,78559.8,Half-Yearly,2023-03-01,2053-03-01,Active
POL000008,CUST003901,AGT0015,Term,10000000,35265.6,Quarterly,2025-10-06,2035-10-06,Active
POL000009,CUST003901,AGT0032,Endowment,1500000,9200.71,Quarterly,2024-10-20,2049-10-20,Active
POL000010,CUST002736,AGT0036,Endowment,10000000,25239.83,Quarterly,2022-11-24,2032-11-24,Active
POL000011,CUST000123,AGT0016,Endowment,500000,7100.34,Half-Yearly,2023-10-23,2048-10-23,Active
POL000012,CUST002071,AGT0043,Whole Life,5000000,88051.89,Half-Yearly,2025-05-20,2040-05-20,Matured
POL000013,CUST000153,AGT0057,Whole Life,5000000,94312.58,Yearly,2024-11-21,2044-11-21,Active
POL000014,CUST003590,AGT0012,ULIP,2000000,17421.89,Half-Yearly,2022-07-20,2047-07-20,Active
POL000015,CUST003590,AGT0050,Whole Life,1500000,23181.79,Half-Yearly,2024-04-15,2034-04-15,Lapsed
POL000016,CUST003771,AGT0014,Whole Life,5000000,13586.1,Quarterly,2022-03-23,2047-03-23,Active
POL000017,CUST003771,AGT0026,Whole Life,500000,4462.04,Half-Yearly,2025-06-12,2055-06-12,Active
POL000018,CUST001065,AGT0022,Whole Life,2000000,3008.25,Monthly,2026-02-23,2046-02-23,Lapsed
POL000019,CUST001065,AGT0035,Term,1500000,24958.95,Yearly,2021-11-26,2046-11-26,Matured
POL000020,CUST002117,AGT0047,Term,5000000,34691.15,Half-Yearly,2022-04-23,2052-04-23,Active
POL000021,CUST003660,AGT0042,Whole Life,500000,8251.32,Half-Yearly,2023-04-21,2043-04-21,Active
POL000022,CUST003487,AGT0026,Endowment,1500000,14833.69,Quarterly,2025-04-18,2055-04-18,Lapsed
POL000023,CUST001955,AGT0047,Endowment,1500000,14958.8,Half-Yearly,2025-10-07,2040-10-07,Active
POL000024,CUST001955,AGT0033,Endowment,500000,1360.57,Monthly,2025-11-20,2035-11-20,Active
POL000025,CUST000419,AGT0050,Whole Life,500000,4761.0,Half-Yearly,2025-05-24,2040-05-24,Active
POL000026,CUST001074,AGT0048,Term,1500000,44487.42,Yearly,2024-12-10,2034-12-10,Active
POL000027,CUST002388,AGT0035,Term,500000,5302.31,Yearly,2022-04-26,2032-04-26,Lapsed
POL000028,CUST002388,AGT0020,Money Back,1000000,15828.52,Yearly,2024-01-27,2034-01-27,Active
POL000029,CUST001946,AGT0017,Whole Life,5000000,45553.73,Half-Yearly,2025-11-14,2035-11-14,Active
POL000030,CUST001946,AGT0027,Money Back,2000000,22886.04,Half-Yearly,2025-07-29,2050-07-29,Active
POL000031,CUST002953,AGT0047,Whole Life,1500000,8052.09,Quarterly,2025-05-23,2055-05-23,Surrendered
POL000032,CUST002160,AGT0026,ULIP,5000000,83609.13,Yearly,2025-09-13,2035-09-13,Surrendered
POL000033,CUST001584,AGT0052,Whole Life,1500000,3660.57,Monthly,2022-05-18,2047-05-18,Active
POL000034,CUST001584,AGT0038,Term,500000,2028.81,Quarterly,2054-08-25,2024-08-25,Matured
POL000035,CUST000665,AGT0049,Endowment,2000000,51404.34,Yearly,2023-12-09,2053-12-09,Lapsed
POL000036,CUST002650,AGT0003,Whole Life,1500000,24161.5,Half-Yearly,2022-07-10,2047-07-10,Lapsed
POL000037,CUST000562,AGT0036,Money Back,5000000,7518.48,Monthly,2026-06-03,2051-06-03,Active
POL000038,CUST000323,AGT0033,Money Back,2000000,9827.57,Quarterly,2024-07-14,2044-07-14,Lapsed
POL000039,CUST000323,AGT0009,Money Back,10000000,18975.88,Monthly,2025-10-26,2035-10-26,Active
POL000040,CUST003887,AGT0008,Endowment,5000000,19901.29,Quarterly,2023-02-08,2033-02-08,Matured
POL000041,CUST003887,AGT0009,Term,2000000,14392.47,Quarterly,2025-07-04,2050-07-04,Active
POL000042,CUST000757,AGT0019,Money Back,2000000,3150.42,Monthly,2022-12-09,2047-12-09,Active
POL000043,CUST000757,AGT0019,ULIP,5000000,67285.78,Half-Yearly,2025-12-21,2045-12-21,Active
POL000044,CUST002965,AGT0022,Endowment,5000000,60408.25,Half-Yearly,2025-06-01,2045-06-01,Active
POL000045,CUST001475,AGT0010,Endowment,1000000,10294.64,Yearly,2024-05-12,2054-05-12,Active
POL000046,CUST001475,AGT0007,Whole Life,500000,7760.98,Half-Yearly,2021-07-04,2031-07-04,Active
POL000047,CUST001354,AGT0041,ULIP,500000,13916.82,Yearly,2024-08-04,2034-08-04,Active
POL000048,CUST002138,AGT0056,Endowment,1500000,6839.03,Quarterly,2021-10-13,2031-10-13,Lapsed
POL000049,CUST002745,AGT0042,ULIP,1500000,57043.86,Yearly,2024-10-01,2054-10-01,Active
POL000050,CUST002613,AGT0017,Term,5000000,13299.89,Monthly,2022-05-20,2037-05-20,Active
POL000051,CUST000482,AGT0038,Endowment,5000000,99524.03,Yearly,2024-11-28,2054-11-28,Lapsed
POL000052,CUST001225,AGT0014,Money Back,10000000,37607.45,Quarterly,2025-01-02,2050-01-02,Lapsed
POL000053,CUST001412,AGT0005,Money Back,1000000,6065.98,Quarterly,2021-09-25,2036-09-25,Active
POL000054,CUST000521,AGT0020,Term,1000000,22762.17,Yearly,2024-08-04,2054-08-04,Active
POL000055,CUST000521,AGT0031,Money Back,500000,10659.64,Yearly,2025-03-28,2040-03-28,Active
POL000056,CUST003313,AGT0011,Money Back,1500000,4562.32,Monthly,2024-04-11,2054-04-11,Lapsed
POL000057,CUST003649,AGT0051,ULIP,10000000,268145.76,Yearly,2023-11-26,2038-11-26,Active
POL000058,CUST003649,AGT0056,ULIP,10000000,295627.64,Yearly,2024-06-07,2034-06-07,Active
POL000059,CUST002593,AGT0059,Whole Life,10000000,164133.99,Yearly,2024-05-03,2044-05-03,Active
POL000060,CUST001315,AGT0013,Whole Life,1500000,1984.39,Monthly,2026-05-16,2041-05-16,Active
POL000061,CUST001315,AGT0017,Term,5000000,32058.14,Half-Yearly,2021-09-10,2041-09-10,Active
POL000062,CUST001767,AGT0026,Term,5000000,12256.89,Monthly,2026-03-23,2046-03-23,Active
POL000063,CUST001688,AGT0039,ULIP,1500000,4486.94,Monthly,2023-12-08,2033-12-08,Matured
POL000064,CUST003641,AGT0058,Whole Life,1000000,928.82,Monthly,2024-06-22,2049-06-22,Active
POL000065,CUST000615,AGT0029,Endowment,1000000,35021.93,Yearly,2025-03-05,2035-03-05,Active
POL000066,CUST000615,AGT0040,Term,1500000,29626.58,Half-Yearly,2021-07-18,2031-07-18,Active
POL000067,CUST003362,AGT0024,ULIP,10000000,92929.36,Quarterly,2025-01-22,2045-01-22,Active
POL000068,CUST003362,AGT0005,Money Back,500000,17565.75,Yearly,2023-01-08,2048-01-08,Lapsed
POL000069,CUST002499,AGT0039,Money Back,1000000,1264.8,Monthly,2022-09-15,2042-09-15,Active
POL000070,CUST003972,AGT0008,Money Back,2000000,3222.49,Monthly,2022-09-14,2037-09-14,Active
POL000071,CUST001369,AGT0012,Money Back,10000000,126448.59,Yearly,2022-06-16,2032-06-16,Matured
POL000072,CUST001857,AGT0014,Endowment,1500000,4125.21,Monthly,2022-09-07,2052-09-07,Lapsed
POL000073,CUST001857,AGT0058,ULIP,2000000,9616.73,Quarterly,2024-10-16,2034-10-16,Lapsed
POL000074,CUST002961,AGT0009,Endowment,1500000,46766.13,Yearly,2025-01-21,2035-01-21,Active
POL000075,CUST002961,AGT0013,Money Back,1500000,13146.85,Quarterly,2022-01-07,2047-01-07,Active
POL000076,CUST000967,AGT0024,ULIP,1500000,9579.27,Half-Yearly,2023-11-02,2048-11-02,Active
POL000077,CUST003414,AGT0010,Money Back,2000000,6414.99,Monthly,2024-03-22,2039-03-22,Active
POL000078,CUST000697,AGT0019,Endowment,10000000,146901.2,Half-Yearly,2021-12-09,2046-12-09,Lapsed
POL000079,CUST000613,AGT0014,Money Back,5000000,10582.57,Monthly,2022-07-19,2042-07-19,Active
POL000080,CUST000198,AGT0021,Term,500000,3032.04,Quarterly,2025-02-21,2055-02-21,Active
POL000081,CUST003832,AGT0023,Whole Life,10000000,16392.63,Monthly,2024-01-19,2054-01-19,Active
POL000082,CUST001726,AGT0007,Term,1000000,20041.37,Yearly,2023-02-25,2048-02-25,Active
POL000083,CUST001726,AGT0002,Endowment,1500000,9001.96,Quarterly,2025-05-09,2045-05-09,Active
POL000084,CUST001465,AGT0016,Money Back,2000000,63857.29,Yearly,2024-02-29,2054-02-28,Active
POL000085,CUST002235,AGT0060,ULIP,5000000,151783.38,Yearly,2022-01-19,2042-01-19,Active
POL000086,CUST003298,AGT0026,Money Back,500000,16611.09,Yearly,2025-02-20,2050-02-20,Surrendered
POL000087,CUST003298,AGT0045,Money Back,500000,4708.83,Quarterly,2025-08-09,2040-08-09,Matured
POL000088,CUST000182,AGT0004,Endowment,5000000,37377.74,Quarterly,2025-02-24,2040-02-24,Lapsed
POL000089,CUST000182,AGT0001,Term,1500000,17821.05,Half-Yearly,2022-06-17,2037-06-17,Active
POL000090,CUST003127,AGT0014,Endowment,1000000,6205.63,Half-Yearly,2022-05-11,2042-05-11,Active
POL000091,CUST001279,AGT0007,Endowment,1000000,5074.17,Half-Yearly,2025-09-23,2055-09-23,Active
POL000092,CUST000905,AGT0046,Whole Life,10000000,300531.06,Yearly,2024-02-06,2039-02-06,Lapsed
POL000093,CUST001679,AGT0050,Term,2000000,32891.33,Half-Yearly,2021-12-14,2036-12-14,Active
POL000094,CUST002513,AGT0043,ULIP,10000000,260234.55,Yearly,2025-04-29,2050-04-29,Active
POL000095,CUST003234,AGT0022,Money Back,500000,4129.41,Quarterly,2024-07-30,2039-07-30,Active
POL000096,CUST003234,AGT0009,Money Back,500000,18718.79,Yearly,2021-12-05,2051-12-05,Active
POL000097,CUST002926,AGT0012,Term,1000000,12785.51,Yearly,2025-05-31,2045-05-31,Active
POL000098,CUST002284,AGT0027,ULIP,1500000,16567.2,Yearly,2023-05-28,2048-05-28,Surrendered
POL000099,CUST000870,AGT0044,Whole Life,10000000,19956.4,Monthly,2024-05-12,2054-05-12,Active
POL000100,CUST002583,AGT0044,Whole Life,500000,3465.55,Half-Yearly,2024-04-01,2039-04-01,Active
POL000101,CUST002583,AGT0028,Whole Life,500000,11336.86,Yearly,2024-05-14,2049-05-14,Active
POL000102,CUST003679,AGT0055,Term,5000000,83575.26,Half-Yearly,2023-11-05,2048-11-05,Lapsed
POL000103,CUST000853,AGT0044,ULIP,500000,12975.67,Yearly,2022-05-25,2037-05-25,Active
POL000104,CUST000072,AGT0047,Term,1500000,11946.29,Half-Yearly,2023-10-21,2053-10-21,Lapsed
POL000105,CUST003424,AGT0030,Whole Life,500000,2798.83,Half-Yearly,2023-08-13,2048-08-13,Matured
POL000106,CUST003424,AGT0019,ULIP,500000,4392.45,Half-Yearly,2023-06-26,2053-06-26,Active
POL000107,CUST002294,AGT0029,Term,5000000,23496.49,Quarterly,2022-08-01,2042-08-01,Active
POL000108,CUST002294,AGT0048,ULIP,1500000,2589.67,Monthly,2022-06-19,2032-06-19,Active
POL000109,CUST003741,AGT0032,Endowment,500000,574.23,Monthly,2025-10-19,2055-10-19,Active
POL000110,CUST003359,AGT0060,ULIP,1500000,14086.22,Quarterly,2025-09-06,2050-09-06,Matured
POL000111,CUST001374,AGT0010,Money Back,5000000,5123.37,Monthly,2023-03-07,2048-03-07,Active
POL000112,CUST001374,AGT0022,Money Back,10000000,253789.68,Yearly,2022-06-14,2032-06-14,Lapsed
POL000113,CUST001362,AGT0047,ULIP,2000000,2586.32,Monthly,2021-09-13,2046-09-13,Lapsed
POL000114,CUST001362,AGT0040,Term,2000000,13563.43,Quarterly,2023-05-31,2033-05-31,Surrendered
POL000115,CUST002687,AGT0060,Endowment,10000000,136000.4,Half-Yearly,2025-05-08,2035-05-08,Active
POL000116,CUST002024,AGT0044,Endowment,1500000,3517.33,Monthly,2022-02-05,2052-02-05,Matured
POL000117,CUST003976,AGT0018,Term,2000000,5576.92,Monthly,2022-10-03,2037-10-03,Lapsed
POL000118,CUST000725,AGT0021,Money Back,10000000,13866.43,Monthly,2025-02-17,2045-02-17,Active
POL000119,CUST001296,AGT0022,Money Back,1500000,41456.14,Yearly,2024-02-05,2054-02-05,Active
POL000120,CUST000004,AGT0029,Whole Life,5000000,50544.7,Half-Yearly,2023-12-12,2033-12-12,Active
POL000121,CUST000814,AGT0003,Whole Life,1000000,7547.39,Quarterly,2021-10-26,2051-10-26,Active
POL000122,CUST003769,,Money Back,500000,3123.19,Half-Yearly,2024-03-03,2049-03-03,Lapsed
POL000123,CUST001153,AGT0011,ULIP,1500000,16330.41,Yearly,2026-05-30,2051-05-30,Active
POL000124,CUST003194,AGT0048,Money Back,2000000,5423.61,Monthly,2022-02-18,2047-02-18,Active
POL000125,CUST003718,AGT0008,Endowment,2000000,10676.43,Quarterly,2022-04-23,2052-04-23,Matured
POL000126,CUST001811,AGT0050,Endowment,1000000,7679.34,Half-Yearly,2024-03-28,2034-03-28,Active
POL000127,CUST001039,AGT0039,Whole Life,5000000,81346.07,Half-Yearly,2024-11-10,2049-11-10,Active
POL000128,CUST001039,AGT0041,ULIP,1500000,3740.88,Monthly,2023-04-16,2043-04-16,Lapsed
POL000129,CUST001039,AGT0049,ULIP,5000000,83764.88,Yearly,2026-03-11,2056-03-11,Active
POL000130,CUST001236,AGT0022,Whole Life,1000000,18652.23,Yearly,2022-06-08,2037-06-08,Active
