payment_id,policy_id,payment_date,amount_paid,late_fee,payment_mode
PAY0000001,POL000001,2024-07-13,13525.63,0.0,UPI
PAY0000002,POL000001,2024-10-18,13525.63,0.0,AutoDebit
PAY0000003,POL000001,2025-01-24,13525.63,0.0,AutoDebit
PAY0000004,POL000001,2025-05-02,13525.63,0.0,NetBanking
PAY0000005,POL000001,2025-08-08,13525.63,0.0,UPI
PAY0000006,POL000001,2025-11-14,13525.63,0.0,AutoDebit
PAY0000007,POL000002,2025-08-02,878.59,0.0,Cheque
PAY0000008,POL000002,2025-09-10,878.59,0.0,UPI
PAY0000009,POL000002,2025-10-13,878.59,0.0,AutoDebit
PAY0000010,POL000002,2025-11-12,878.59,0.0,NetBanking
PAY0000011,POL000002,2025-12-15,878.59,0.0,UPI
PAY0000012,POL000002,2026-01-21,878.59,0.0,Cheque
PAY0000013,POL000003,2024-06-16,94241.24,0.0,NetBanking
PAY0000014,POL000003,2025-06-13,94241.24,0.0,AutoDebit
PAY0000015,POL000003,2026-06-13,94241.24,0.0,Cheque
PAY0000016,POL000004,2022-08-09,35783.39,0.0,UPI
PAY0000017,POL000004,2023-08-18,35783.39,0.0,AutoDebit
PAY0000018,POL000004,2024-08-24,35783.39,0.0,Card
PAY0000019,POL000004,2025-08-26,35783.39,0.0,AutoDebit
PAY0000020,POL000005,2026-05-29,11932.82,0.0,NetBanking
PAY0000021,POL000006,2025-01-14,26003.58,0.0,AutoDebit
PAY0000022,POL000006,2025-02-22,26003.58,0.0,UPI
PAY0000023,POL000006,2025-03-29,26003.58,0.0,UPI
PAY0000024,POL000006,2025-05-04,26003.58,0.0,UPI
PAY0000025,POL000006,2025-06-12,26003.58,0.0,NetBanking
PAY0000026,POL000006,2025-07-12,26003.58,0.0,Cheque
PAY0000027,POL000006,2025-08-17,26003.58,520.07,AutoDebit
PAY0000028,POL000006,2025-09-14,26003.58,0.0,UPI
PAY0000029,POL000006,2025-10-20,26003.58,0.0,NetBanking
PAY0000030,POL000006,2025-11-16,26003.58,520.07,Cheque
PAY0000031,POL000006,2025-12-23,26003.58,0.0,NetBanking
PAY0000032,POL000006,2026-01-28,26003.58,0.0,Card
PAY0000033,POL000006,2026-02-26,26003.58,0.0,Cheque
PAY0000034,POL000006,2026-04-03,26003.58,0.0,AutoDebit
PAY0000035,POL000006,2026-05-03,26003.58,0.0,Cheque
PAY0000036,POL000006,2026-06-11,26003.58,520.07,NetBanking
PAY0000037,POL000007,2023-08-30,78559.8,0.0,AutoDebit
PAY0000038,POL000007,2024-03-04,78559.8,0.0,AutoDebit
PAY0000039,POL000007,2024-09-04,78559.8,0.0,AutoDebit
PAY0000040,POL000007,2025-03-06,78559.8,0.0,Cheque
PAY0000041,POL000007,2025-09-14,78559.8,0.0,AutoDebit
PAY0000042,POL000007,2026-03-21,78559.8,0.0,UPI
PAY0000043,POL000008,2026-01-12,35265.6,0.0,AutoDebit
PAY0000044,POL000008,2026-04-17,35265.6,0.0,Card
PAY0000045,POL000009,2025-01-26,9200.71,184.01,AutoDebit
PAY0000046,POL000009,2025-04-23,9200.71,0.0,NetBanking
PAY0000047,POL000009,2025-07-30,9200.71,0.0,Card
PAY0000048,POL000009,2025-10-29,9200.71,0.0,Card
PAY0000049,POL000009,2026-01-28,9200.71,0.0,UPI
PAY0000050,POL000009,2026-04-25,9200.71,0.0,UPI
PAY0000051,POL000010,2023-03-03,25239.83,0.0,Cheque
PAY0000052,POL000010,2023-06-05,25239.83,0.0,NetBanking
PAY0000053,POL000010,2023-09-10,25239.83,0.0,AutoDebit
PAY0000054,POL000010,2023-12-17,25239.83,0.0,UPI
PAY0000055,POL000010,2024-03-22,25239.83,504.8,Cheque
PAY0000056,POL000010,2024-06-22,25239.83,0.0,Card
PAY0000057,POL000011,2024-04-28,7100.34,0.0,Cheque
PAY0000058,POL000011,2024-10-25,7100.34,0.0,NetBanking
PAY0000059,POL000011,2025-04-25,7100.34,142.01,AutoDebit
PAY0000060,POL000011,2025-10-25,7100.34,0.0,NetBanking
PAY0000061,POL000011,2026-04-25,7100.34,0.0,UPI
PAY0000062,POL000012,2025-11-15,88051.89,0.0,AutoDebit
PAY0000063,POL000012,2026-05-22,88051.89,0.0,UPI
PAY0000064,POL000013,2025-11-23,94312.58,0.0,Card
PAY0000065,POL000014,2023-01-21,17421.89,0.0,AutoDebit
PAY0000066,POL000014,2023-07-29,17421.89,0.0,NetBanking
